Name,Description,MajorCrops,Fruits,Vegetables
Malda,"Orchard district: mango and litchi are essential crops:contentReference[oaicite:25]{index=25}. Vegetables and spices are often intercropped in orchards.","Rice; Mustard; Wheat; Jute; Blackgram; Sugarcane; Maize","Mango; Litchi; Banana; Papaya; Guava; Jackfruit","Potato; Cabbage; Cauliflower; Tomato; Peas"
Murshidabad,"East Murshidabad: rice, jute, pulses, oilseeds, wheat, barley, mango; West Murshidabad: mulberry cultivation. Fewer mangoes than Malda:contentReference[oaicite:26]{index=26}","Rice; Wheat; Pulses; Oilseeds; Jute; Potato","Jackfruit; Mango; Banana; Litchi; Guava","Brinjal; Cucurbits; Cabbage; Tomato; Okra; Cauliflower"
Nadia,"Agricultural district. Major crops include rice, jute, oilseeds, wheat, pulses and maize:contentReference[oaicite:27]{index=27}","Rice; Jute; Oilseeds; Wheat; Pulses; Maize","Guava; Jackfruit; Mango; Banana; Papaya","Brinjal; Cauliflower; Cabbage; Tomato; Peas; Cucurbits"
North 24 Parganas,"Densely populated; agriculture and industry co-exist. Main crops: rice, jute, oilseeds, pulses, wheat, potato:contentReference[oaicite:28]{index=28}","Rice; Jute; Oilseeds; Pulses; Wheat; Potato","Papaya; Mango; Banana; Jackfruit; Guava","Brinjal; Cucurbits; Cabbage; Cauliflower; Tomato"
Paschim Medinipur,"Agricultural district; paddy (aus, aman, boro), wheat, potato, vegetables, oilseeds and pulses are important:contentReference[oaicite:29]{index=29}","Rice; Oilseeds; Potato; Wheat; Pulses; Dry Chilies","Papaya; Mango; Banana; Guava; Jackfruit","Brinjal; Cucurbits; Cauliflower; Cabbage; Okra; Onion"
Paschim Bardhaman,"Industrial and agricultural; major crops include Aman & Boro rice, potato, mustard, sesame, wheat, groundnut, vegetables and pulses:contentReference[oaicite:30]{index=30}","Rice; Wheat; Pulses; Oilseeds; Jute; Potato","Mango; Banana; Papaya; Guava; Jackfruit","Brinjal; Cabbage; Cauliflower; Cucurbits; Okra; Tomato"
Purba Bardhaman,"Agricultural economy (~58% in farming); paddy covers most area. Other significant crops: jute, sugarcane, potato, oilseeds:contentReference[oaicite:31]{index=31}","Rice; Wheat; Pulses; Oilseeds; Jute; Potato","Mango; Banana; Papaya; Guava; Jackfruit","Brinjal; Cabbage; Cauliflower; Cucurbits; Okra; Tomato"
Purba Medinipur,"31.66% of cultivation is rainfed; major crops include pulses, oilseeds, potato, paddy (aus, aman, boro), vegetables, betel vine, flowers:contentReference[oaicite:32]{index=32}","Rice; Pulses; Oilseeds; Dry Chilli; Potato","Mango; Banana; Papaya; Citrus; Sapota","Brinjal; Cucurbits; Okra; Cauliflower; Cabbage; Tomato"
Purulia,"Dry district; major crops are rice, maize, pulses (black gram, red gram), oilseeds (mustard) and potato:contentReference[oaicite:33]{index=33}","Rice; Maize; Pulses (Black Gram; Red Gram); Mustard; Potato","Mango; Papaya; Banana; Pineapple; Guava","Brinjal; Cucurbits; Tomato; Cabbage; Cauliflower; Okra"
South 24 Parganas,"Coastal delta: major crops include rice, wheat, pulses, oilseeds (sunflower, safflower, mustard, linseed), dry chili and potato:contentReference[oaicite:34]{index=34}","Rice; Wheat; Pulses (Lathyrus; Black Gram; Green Gram); Oilseeds (Sunflower; Safflower; Mustard; Linseed); Dry Chilli; Potato","Mango; Banana; Papaya; Guava; Litchi","Brinjal; Cucurbits; Ladies Finger; Cabbage; Cauliflower; Tomato"
Uttar Dinajpur,"Agricultural district; principal crops are rice, wheat, mustard, jute, maize and potato; famous for its Tulaipanji rice variety:contentReference[oaicite:35]{index=35}","Rice; Wheat; Mustard; Jute; Maize; Potato","Mango; Banana; Pineapple; Litchi; Papaya; Guava","Brinjal; Chillies; Cabbage; Cauliflower; Tomato; Peas; Ladyfinger; Turmeric; Ginger"
